id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-185P_Petriew,185P/Petriew,comet,1092,0,139427360,0,5.46,0.6993210375,14.00701804,0.9320143358,5.27,0.060833,-0.161237937524214,short,medium,medium,0
comet-189P_NEAT,189P/NEAT,comet,998,0,176160879,0,4.99,0.5967955467,20.3759014,1.177562746,4.66,0.170302,-0.171304368537232,short,medium,medium,0
comet-197P_LINEAR,197P/LINEAR,comet,970,0,158782191,0,4.85,0.6296602372,25.54272525,1.061393391,4.67,0.051318,-0.17447764126090154,short,medium,medium,0
comet-206P_Barnard_Boattini,206P/Barnard-Boattini,comet,1114,0,146428211,0,5.57,0.6886420879,31.97414822,0.9788121332,5.31,0.01839,-0.15901254144972526,short,medium,medium,0
comet-207P_NEAT,207P/NEAT,comet,1532,0,141219821,0,7.66,0.7569889079,10.14995411,0.943996196,6.83,0.147585,-0.12863397084173206,short,high,medium,0
comet-209P_LINEAR,209P/LINEAR,comet,1004,0,134887736,0,5.02,0.6923704602,19.44782985,0.9016688219,4.96,0.051186,-0.17059988040673035,short,medium,medium,0
comet-210P_Christensen,210P/Christensen,comet,1130,0.1,79483430,0,5.65,0.8325032627,10.24010578,0.5313139132,5.81,0.170738,-0.15769602541177036,short,high,medium,0
comet-217P_LINEAR,217P/LINEAR,comet,1566,0,183030337,0,7.83,0.689642756,12.88188017,1.223482234,6.66,0.306437,-0.1268474983919143,short,medium,medium,0
comet-222P_LINEAR,222P/LINEAR,comet,966,0,116800257,0,4.83,0.7267693964,5.14614339,0.7807614949,4.93,0.062285,-0.1751079958238583,short,high,low,0
comet-225P_LINEAR,225P/LINEAR,comet,1336,0,178330463,0,6.68,0.6637644633,20.70960946,1.192065517,5.9,0.194983,-0.14100264550615826,short,medium,medium,0
comet-249P_LINEAR,249P/LINEAR,comet,926,0.1,76382514,0,4.63,0.8161483931,8.4340952,0.5105855707,5.04,0.052649,-0.18016117169307727,short,high,low,0
comet-252P_LINEAR,252P/LINEAR,comet,1068,0,149802585,0,5.34,0.6724112481,10.38105211,1.001368431,5.11,0.017389,-0.16362947370796468,short,medium,medium,0
comet-255P_Levy,255P/Levy,comet,1060,0,150821228,0,5.3,0.6681889017,18.26659348,1.00817764,5.07,0.024517,-0.16452299673163223,short,medium,medium,0
comet-262P_McNaught_Russell,262P/McNaught-Russell,comet,3654,0,191526651,0,18.27,0.8154028826,29.07941912,1.280276583,12.59,0.291456,-0.0720966156670331,short,high,medium,0
comet-263P_Gibbs,263P/Gibbs,comet,1054,0,187192126,0,5.27,0.5869803961,14.4711765,1.251302076,4.81,0.284398,-0.16498105315680361,short,medium,medium,0
