id,name,object_type,diameter_m,velocity_km_s,distance_km,is_hazardous,kinetic_energy_mt,threat_level,size_category,period_years,eccentricity,inclination_deg,moid_au,is_asteroid,is_comet
2002201,2201 Oljato (1947 XC),asteroid,3711,25.3456267744,25845171.89043248,1,6162786.738555121,4,huge,,,,,1,0
2002202,2202 Pele (1972 RA),asteroid,1728,6.4939303073,22477105.54873577,0,40845.54233715603,4,huge,,,,,1,0
2002212,2212 Hephaistos (1978 SB),asteroid,8581,29.4211459099,17637404.07475119,0,102667049.00265889,4,huge,,,,,1,0
2002329,2329 Orthos (1976 WA),asteroid,5218,23.4239211559,72695339.82246709,0,14632873.727370147,4,huge,,,,,1,0
2002340,2340 Hathor (1976 UA),asteroid,353,17.4915658691,11911205.968456928,1,2526.269631359236,4,large,,,,,1,0
2002368,2368 Beltrovata (1977 RA),asteroid,4014,20,100000,0,4856129.965091075,4,huge,,,,,1,0
2002608,2608 Seneca (1978 DA),asteroid,1373,17.1348117091,25771799.401042502,0,142648.92069316455,4,huge,,,,,1,0
2003102,3102 Krok (1981 QA),asteroid,2521,6.127545116,29746628.24083123,0,112924.91638744881,4,huge,,,,,1,0
2003103,3103 Eger (1982 BB),asteroid,3746,16.9574701096,26405147.011411157,0,2837420.1271592244,4,huge,,,,,1,0
2003122,3122 Florence (1981 ET3),asteroid,6570,13.9543936845,7837812.447728948,1,10366120.588251222,4,huge,,,,,1,0
2003199,3199 Nefertiti (1982 RA),asteroid,4321,13.4221932631,7046928.930383422,0,2728336.7953244965,4,huge,,,,,1,0
2003200,3200 Phaethon (1983 TB),asteroid,5696,33.877789151,22346296.40825863,1,39814225.22145152,4,huge,,,,,1,0
2003271,3271 Ul (1982 RB),asteroid,2087,13.670272508,11184173.439990127,0,318874.577924471,4,huge,,,,,1,0
2003288,3288 Seleucus (1982 DV),asteroid,3677,6.5008847543,20895360.908845857,0,394388.30604196235,4,huge,,,,,1,0
2003352,3352 McAuliffe (1981 CW),asteroid,2802,20,100000,0,1651819.5036489936,4,huge,,,,,1,0
2003360,3360 Syrinx (1981 VA),asteroid,2664,22.563779094,13338427.048959646,0,1806860.1737421777,4,huge,,,,,1,0
2003361,3361 Orpheus (1982 HR),asteroid,527,12.9576032177,22268336.09627086,1,4612.956988125066,4,large,,,,,1,0
