asteroid_id,asteroid_name,approach_date,approach_date_full,velocity_km_s,distance_km,is_hazardous
54321452,(2022 UL13),2025-10-02,2025-Oct-02 21:24,11.6249736537,33088937.045668144,false
54385233,(2023 RG22),2025-10-02,2025-Oct-02 19:22,17.4106829019,46680204.66072067,false
54393149,(2023 TV9),2025-10-02,2025-Oct-02 19:18,7.5570351211,19385903.291160986,false
54414145,(2023 XZ2),2025-10-02,2025-Oct-02 14:44,5.4206023683,36945858.813277885,false
54486934,(2024 TZ),2025-10-02,2025-Oct-02 08:04,22.4859292979,21009242.31730293,false
54545769,(2025 SH),2025-10-02,2025-Oct-02 08:55,3.7297175659,1393391.526813677,false
54546119,(2025 SY),2025-10-02,2025-Oct-02 00:02,5.882225555,4673627.792170001,false
54546407,(2025 SB2),2025-10-02,2025-Oct-02 11:37,4.6391294296,26318432.321829703,false
54546465,(2025 SS2),2025-10-02,2025-Oct-02 13:20,9.5854976818,20374562.029269174,false
54549111,(2025 SV21),2025-10-02,2025-Oct-02 11:07,7.2152478505,9128731.393324722,false
54549117,(2025 SN23),2025-10-02,2025-Oct-02 01:17,11.9995883073,11673450.253183372,false
54549696,(2025 TG),2025-10-02,2025-Oct-02 00:17,6.0634960089,1996332.592195904,false
54550575,(2025 TP1),2025-10-02,2025-Oct-02 05:08,12.6265620355,225395.176305019,false
3428698,(2008 TD),2025-10-04,2025-Oct-04 03:35,14.1369290299,24268337.351831708,false
3667048,(2014 GQ17),2025-10-04,2025-Oct-04 11:16,9.9368459615,49002315.99586324,false
3728859,(2015 SZ16),2025-10-04,2025-Oct-04 03:09,11.0165230119,58516116.89922257,false
3799876,(2018 ES3),2025-10-04,2025-Oct-04 16:17,11.797074683,40987360.83568246,false
3878561,(2019 TS1),2025-10-04,2025-Oct-04 19:07,13.1404929752,20399348.10748076,false
3879165,(2019 TY6),2025-10-04,2025-Oct-04 14:06,15.2109133457,18340416.85505526,false
3991587,(2020 CR2),2025-10-04,2025-Oct-04 18:19,21.6957600212,27751317.357208066,false
54154694,(2021 LA1),2025-10-04,2025-Oct-04 09:20,6.0965747505,30652379.959063713,false
54193830,(2021 RF4),2025-10-04,2025-Oct-04 23:52,5.5201197288,56213476.32525198,false
54202332,(2021 TD1),2025-10-04,2025-Oct-04 09:12,15.7162809525,25687173.067806676,false
54203006,(2021 SZ4),2025-10-04,2025-Oct-04 02:24,44.5235909383,71892716.08868077,true
54215217,(2021 VO),2025-10-04,2025-Oct-04 19:27,13.2737991015,57426097.67550228,false
54265894,(2022 FF3),2025-10-04,2025-Oct-04 01:37,9.5535291324,46320602.01888444,false
54352299,(2023 FL4),2025-10-04,2025-Oct-04 14:34,15.0262947206,74202950.92372298,false
54390823,(2023 TT),2025-10-04,2025-Oct-04 07:04,17.0960093943,25814258.37322441,false
54392067,(2023 TM3),2025-10-04,2025-Oct-04 23:49,21.3994446068,45856607.81419311,false
54546621,(2025 SS3),2025-10-04,2025-Oct-04 21:43,12.9962346815,9826487.424155291,false
54549112,(2025 SG22),2025-10-04,2025-Oct-04 02:53,15.2146676137,15191996.942715213,false
54549680,(2025 SZ27),2025-10-04,2025-Oct-04 04:29,16.413799511,1180837.188398617,false
2152664,152664 (1998 FW4),2025-09-29,2025-Sep-29 18:59,18.6064298526,3852719.354004421,true
2418198,418198 (2008 CN70),2025-09-29,2025-Sep-29 02:00,17.9454671326,45709341.65139386,false
54214066,(2021 UK6),2025-09-29,2025-Sep-29 16:15,19.8101233592,60303062.1548711,false
54248647,(2022 DO4),2025-09-29,2025-Sep-29 01:46,18.9965913989,46809179.8509899,false
54305651,(2022 SK4),2025-09-29,2025-Sep-29 10:24,22.3193519743,61662023.32799003,false
54308051,(2022 SL11),2025-09-29,2025-Sep-29 12:34,12.6889256195,15564775.057916798,false
54381677,(2023 RG5),2025-09-29,2025-Sep-29 21:00,27.9292957548,59121618.40694878,false
54391018,(2023 TO1),2025-09-29,2025-Sep-29 00:10,15.545616905,19072140.174333785,false
54539479,(2025 OS12),2025-09-29,2025-Sep-29 03:47,10.2319380069,28011515.64022051,false
54539493,(2025 OD13),2025-09-29,2025-Sep-29 12:02,10.396784491,7839287.811842462,false
54545420,(2025 RH4),2025-09-29,2025-Sep-29 07:21,17.2410914392,6820969.994505308,false
54545425,(2025 RT4),2025-09-29,2025-Sep-29 13:09,6.892048742,21600970.72313292,false
54545775,(2025 SL),2025-09-29,2025-Sep-29 01:08,9.497976556,7863982.29127825,false
54546842,(2025 SC4),2025-09-29,2025-Sep-29 07:08,5.4670438719,7372775.725401153,false
54548705,(2025 SP20),2025-09-29,2025-Sep-29 11:20,10.9027172586,1912928.653075421,false
54549677,(2025 TA),2025-09-29,2025-Sep-29 10:44,8.6200780155,2610822.284026817,false
54550501,(2025 TK),2025-09-29,2025-Sep-29 23:31,11.7603045314,1461418.016640907,false
54550503,(2025 TM),2025-09-29,2025-Sep-29 21:49,19.678598997,18357559.170260053,false
54550512,(2025 TR),2025-09-29,2025-Sep-29 20:23,13.5429772912,1094714.667025772,false
54550515,(2025 TT),2025-09-29,2025-Sep-29 22:16,13.4059243964,10635137.498697545,false
3388395,(2007 TR68),2025-09-28,2025-Sep-28 05:50,7.1167756541,17557806.18967946,false
3557843,(2011 DV),2025-09-28,2025-Sep-28 02:31,6.1112915121,22164403.050887294,true
3648537,(2013 ST19),2025-09-28,2025-Sep-28 23:40,11.9697248861,18915604.31415807,false
3767014,(2017 BB7),2025-09-28,2025-Sep-28 15:04,10.0309393629,20337921.98039644,false
3840718,(2019 FY1),2025-09-28,2025-Sep-28 08:55,3.9657292228,29419143.63337295,false
3869336,(2019 SF6),2025-09-28,2025-Sep-28 08:22,8.4440185378,7655214.783585648,false
54054711,(2020 SR6),2025-09-28,2025-Sep-28 08:35,19.7374476889,67962783.18533604,false
54076927,(2020 UM5),2025-09-28,2025-Sep-28 22:36,18.9854314559,31208526.60127292,false
54209492,(2021 TS15),2025-09-28,2025-Sep-28 22:50,12.0039490832,35503766.702191435,false
54293660,(2022 PX),2025-09-28,2025-Sep-28 10:24,17.1053566555,56960345.56120035,false
54312925,(2022 SU55),2025-09-28,2025-Sep-28 20:54,9.7632390281,15221666.957548479,false
54360101,(2023 KJ4),2025-09-28,2025-Sep-28 13:45,16.8157392275,51742746.26914939,false
54403822,(2023 VF5),2025-09-28,2025-Sep-28 21:14,24.6207726552,65646598.73828542,false
54487286,(2024 TX2),2025-09-28,2025-Sep-28 13:45,12.1330570509,62466904.94242826,false
54537922,(2025 NO),2025-09-28,2025-Sep-28 09:23,7.3513969856,10021434.60190411,false
54546122,(2025 RV6),2025-09-28,2025-Sep-28 12:29,8.6454676166,7920819.249383942,false
54546124,(2025 SA1),2025-09-28,2025-Sep-28 00:30,8.7158238445,1930173.65225818,false
54547356,(2025 SS5),2025-09-28,2025-Sep-28 22:08,7.9558733027,104351.605264038,false
54547368,(2025 ST6),2025-09-28,2025-Sep-28 07:47,20.5100027816,2816369.921964474,false
54548204,(2025 SP12),2025-09-28,2025-Sep-28 08:03,16.5467930261,17578818.482102852,false
54548706,(2025 SO20),2025-09-28,2025-Sep-28 06:47,9.563510987,136891.071801561,false
54549106,(2025 SB21),2025-09-28,2025-Sep-28 10:15,8.1291812919,233993.523320287,false
