asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
54390823,66.00,17.096,25814258.37,15.773045,0,24.07,4051.837761,0.00024680,9,1.000000,0.0000,0.000000
54392067,17.60,21.399,45856607.81,0.468739,0,26.94,7197.709593,0.00013893,9,1.000000,0.0000,0.000000
54546621,77.29,12.996,9826487.42,14.640677,0,23.73,1542.377558,0.00064835,9,1.000000,0.0000,0.000000
54549112,77.58,15.215,15191996.94,20.288549,0,23.72,2384.554535,0.00041937,9,1.000000,0.0000,0.000000
54549680,39.33,16.414,1180837.19,3.077119,0,25.19,185.345658,0.00539532,9,1.000000,0.0000,0.000000
2152664,498.36,18.606,3852719.35,8043.631311,1,19.68,604.727571,0.00165364,9,1.000000,0.0000,0.000000
2418198,700.72,17.945,45709341.65,20798.671311,0,18.94,7174.594514,0.00013938,9,1.000000,0.0000,0.000000
54214066,42.22,19.810,60303062.15,5.544986,0,25.04,9465.242843,0.00010565,9,1.000000,0.0000,0.000000
54248647,15.91,18.997,46809179.85,0.272570,0,27.16,7347.226472,0.00013611,9,1.000000,0.0000,0.000000
54305651,3.66,22.319,61662023.33,0.004587,0,30.35,9678.547061,0.00010332,9,1.000000,0.0000,0.000000
54308051,43.41,12.689,15564775.06,2.471586,0,24.98,2443.066247,0.00040932,9,1.000000,0.0000,0.000000
54381677,218.55,27.929,59121618.41,1528.431663,0,21.47,9279.801979,0.00010776,9,1.000000,0.0000,0.000000
54391018,54.64,15.546,19072140.17,7.401879,0,24.48,2993.586591,0.00033405,9,1.000000,0.0000,0.000000
54539479,161.27,10.232,28011515.64,82.421755,0,22.13,4396.721965,0.00022744,9,1.000000,0.0000,0.000000
54539493,168.87,10.397,7839287.81,97.706654,0,22.03,1230.464262,0.00081270,9,1.000000,0.0000,0.000000
54545420,62.94,17.241,6820969.99,13.914114,0,24.17,1070.627844,0.00093403,9,1.000000,0.0000,0.000000
54545425,62.65,6.892,21600970.72,2.192920,0,24.18,3390.514946,0.00029494,9,1.000000,0.0000,0.000000
