id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
54202333,(2021 TE1),55.66,0.0557,false,false,24.44,2025-10-07,24.9629732006,57739027.651871875,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54202333,,,,,,,,,,,,,,,270861780,20.1706,2.40,REGIONAL
54205444,(2021 TD7),20.02,0.0200,false,false,26.66,2025-10-07,16.2004007293,19264377.970099244,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54205444,,,,,,,,,,,,,,,12610948,0.3955,0.90,MINIMAL
54312823,(2022 TD),12.23,0.0122,false,false,27.73,2025-10-07,7.4075552816,15054344.8216696,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54312823,,,,,,,,,,,,,,,2875727,0.0189,0.42,MINIMAL
54490869,(2024 TP14),241.85,0.2418,false,false,21.25,2025-10-07,34.7587465136,69712527.71425487,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54490869,,,,,,,,,,,,,,,22220187924,3208.1471,8.54,GLOBAL
54545158,(2025 RG3),63.35,0.0633,false,false,24.159,2025-10-07,9.3830673833,15062308.155646292,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54545158,,,,,,,,,,,,,,,399344519,4.2016,1.62,LOCAL
54546614,(2025 SE3),92.46,0.0925,false,false,23.338,2025-10-07,10.4592605921,22935721.964316987,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546614,,,,,,,,,,,,,,,1241502869,16.2304,2.28,REGIONAL
54546916,(2025 RX10),39.99,0.0400,false,false,25.158,2025-10-07,6.5150369964,15781356.301716091,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546916,,,,,,,,,,,,,,,100449488,0.5095,0.96,MINIMAL
54548503,(2025 SM15),14.41,0.0144,false,false,27.374,2025-10-07,10.2952217039,3077935.948382757,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54548503,,,,,,,,,,,,,,,4702705,0.0596,0.56,MINIMAL
54550522,(2025 TA1),47.77,0.0478,false,false,24.772,2025-10-07,13.0196210121,15947501.20707658,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550522,,,,,,,,,,,,,,,171217333,3.4683,1.55,LOCAL
54550578,(2025 TS1),58.10,0.0581,false,false,24.347,2025-10-07,8.6246648725,11124243.51600261,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550578,,,,,,,,,,,,,,,307997880,2.7379,1.46,LOCAL
2477719,477719 (2010 SG15),38.15,0.0382,false,false,25.26,2025-10-06,5.1613522899,14627344.868727792,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2477719,,,,,,,,,,,,,,,87246443,0.2777,0.82,MINIMAL
3255174,(2004 SW26),31.74,0.0317,false,false,25.66,2025-10-06,21.2348817181,58913122.35955108,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3255174,,,,,,,,,,,,,,,50205087,2.7054,1.46,LOCAL
3648864,(2013 TT5),23.63,0.0236,false,false,26.3,2025-10-06,8.081453263,26175195.62253827,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3648864,,,,,,,,,,,,,,,20737086,0.1618,0.72,MINIMAL
3781891,(2017 ST16),62.16,0.0622,false,false,24.2,2025-10-06,9.8205556757,39292473.36697945,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781891,,,,,,,,,,,,,,,377352931,4.3491,1.64,LOCAL
3785751,(2017 TS3),158.32,0.1583,false,false,22.17,2025-10-06,16.8683475324,37278274.196450934,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3785751,,,,,,,,,,,,,,,6233726264,211.9684,4.33,CONTINENTAL
3838904,(2019 ED1),12.81,0.0128,false,true,27.63,2025-10-06,13.8527945685,57668727.169702135,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3838904,,,,,,,,,,,,,,,3301777,0.0757,0.60,MINIMAL
54131736,(2021 ED5),399.52,0.3995,true,false,20.16,2025-10-06,22.1815270319,10897501.480154408,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54131736,,,,,,,,,,,,,,,100172318941,5889.9138,9.94,GLOBAL
54211501,(2021 UO),352.81,0.3528,false,false,20.43,2025-10-06,21.3098970711,25103009.856182165,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54211501,,,,,,,,,,,,,,,68983897469,3743.5942,8.88,GLOBAL
54215637,(2021 UV9),71.05,0.0710,false,false,23.91,2025-10-06,6.2439477868,38999447.656489514,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54215637,,,,,,,,,,,,,,,563310346,2.6245,1.44,LOCAL
54240297,(2022 BB3),111.57,0.1116,false,false,22.93,2025-10-06,16.3663298781,42025803.81511412,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54240297,,,,,,,,,,,,,,,2181462379,69.8278,3.28,REGIONAL
54318589,(2022 UN5),40.51,0.0405,false,false,25.13,2025-10-06,21.6495987978,63484736.40213026,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54318589,,,,,,,,,,,,,,,104411354,5.8482,1.76,LOCAL
54416724,(2023 XX12),48.03,0.0480,false,false,24.76,2025-10-06,7.4945176444,46153734.451093346,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416724,,,,,,,,,,,,,,,174079539,1.1685,1.18,LOCAL
54486545,(2024 TK),103.64,0.1036,false,false,23.09,2025-10-06,22.301180174,37118375.61551422,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54486545,,,,,,,,,,,,,,,1748830535,103.9398,3.62,CONTINENTAL
54488497,(2024 TL5),13.05,0.0130,false,false,27.59,2025-10-06,5.3974063811,9234102.717509829,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54488497,,,,,,,,,,,,,,,3489376,0.0121,0.38,MINIMAL
54496027,(2024 UJ5),32.03,0.0320,false,false,25.64,2025-10-06,11.3649819643,27012890.13850081,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54496027,,,,,,,,,,,,,,,51611648,0.7966,1.07,MINIMAL
54547366,(2025 SU6),57.48,0.0575,false,false,24.37,2025-10-06,9.072328971,14399495.50944585,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547366,,,,,,,,,,,,,,,298364898,2.9347,1.49,LOCAL
54549119,(2025 SC24),34.45,0.0344,false,false,25.482,2025-10-06,13.3335937488,4528950.106355579,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549119,,,,,,,,,,,,,,,64201877,1.3640,1.23,LOCAL
54549120,(2025 SH25),19.03,0.0190,false,false,26.77,2025-10-06,12.7752940199,3543868.118681011,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549120,,,,,,,,,,,,,,,10832975,0.2113,0.77,MINIMAL
54549688,(2025 SL29),72.03,0.0720,false,false,23.88,2025-10-06,5.5933307016,16053981.201076254,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549688,,,,,,,,,,,,,,,587148192,2.1952,1.38,LOCAL
54550524,(2025 TC1),18.71,0.0187,false,false,26.807,2025-10-06,5.6947540873,4237528.803101822,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550524,,,,,,,,,,,,,,,10293136,0.0399,0.51,MINIMAL
3163746,(2003 UC5),366.05,0.3661,false,false,20.35,2025-10-09,23.986036034,57588819.81151674,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3163746,,,,,,,,,,,,,,,77045579772,5297.1591,9.68,GLOBAL
